Collection_UnsynchronizedAddAll @ Partitioner.java:78: 1 Unique Traces, 67 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsynchronizedAddAll @ Partitioner.java:99: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 37 Remained 
Collection_UnsynchronizedAddAll @ Partitioner.java:100: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsynchronizedAddAll @ Partitioner.java:103: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 65 Remained 
Collection_UnsynchronizedAddAll @ Partitioner.java:104: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsynchronizedAddAll @ Partitioner.java:113: 1 Unique Traces, 97 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsynchronizedAddAll @ Pipeline.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ Pipeline.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ RegexComposer.java:37: 1 Unique Traces, 285 Redundant Traces, 1 Preserved, 48 Remained 
Collection_UnsynchronizedAddAll @ RegexDecomposer.java:49: 1 Unique Traces, 159 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsynchronizedAddAll @ SchemafulTupleSet.java:45: 1 Unique Traces, 226 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsynchronizedAddAll @ TupleSet.java:15: 1 Unique Traces, 201 Redundant Traces, 1 Preserved, 45 Remained 
Collection_UnsynchronizedAddAll @ TupleSet.java:38: 1 Unique Traces, 207 Redundant Traces, 1 Preserved, 73 Remained 
Collection_UnsynchronizedAddAll @ Utils.java:37: 1 Unique Traces, 450727 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ AllOf.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BeforeAfterTest.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CartesianEnumerator.java:22: 9 Unique Traces, 32005 Redundant Traces, 4 Preserved, 1635 Remained 
Collections_SortBeforeBinarySearch @ CartesianEnumerator.java:37: 9 Unique Traces, 7232286 Redundant Traces, 1 Preserved, 39999 Remained 
Collections_SortBeforeBinarySearch @ CartesianEnumerator.java:90: 9 Unique Traces, 408313 Redundant Traces, 2 Preserved, 20430 Remained 
Collections_SortBeforeBinarySearch @ CartesianEnumeratorAdaptor.java:67: 27 Unique Traces, 31987 Redundant Traces, 8 Preserved, 1675 Remained 
Collections_SortBeforeBinarySearch @ CartesianEnumeratorAdaptor.java:84: 8 Unique Traces, 9366 Redundant Traces, 3 Preserved, 470 Remained 
Collections_SortBeforeBinarySearch @ Cartesianator.java:85: 3 Unique Traces, 254 Redundant Traces, 2 Preserved, 116 Remained 
Collections_SortBeforeBinarySearch @ Combinator.java:33: 10 Unique Traces, 26264 Redundant Traces, 1 Preserved, 1365 Remained 
Collections_SortBeforeBinarySearch @ Combinator.java:35: 3 Unique Traces, 26271 Redundant Traces, 1 Preserved, 1428 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:41: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Condition.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CoveringArrayGenerationUtils.java:213: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CoveringArrayGenerationUtils.java:218: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ Expr.java:130: 3 Unique Traces, 72 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Expr.java:134: 5 Unique Traces, 22 Redundant Traces, 4 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Expr.java:137: 3 Unique Traces, 94 Redundant Traces, 2 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ Expr.java:139: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ Functions.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Given.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Given.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ InternalUtils.java:225: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ IpoGplus.java:156: 7 Unique Traces, 49 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ IpoGplus.java:218: 8 Unique Traces, 45 Redundant Traces, 4 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:122: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:142: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IpoGplusTest.java:612: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ JCUnit8.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ JCUnit8.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ JCUnit8.java:234: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 39 Remained 
Collections_SortBeforeBinarySearch @ JCUnit8Test.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Joiner.java:143: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ Joiner.java:208: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Joiner.java:325: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ Matcher.java:49: 2 Unique Traces, 44 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ Negative.java:71: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ NodeUtils.java:112: 3 Unique Traces, 24 Redundant Traces, 3 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ NodeUtils.java:199: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ ObjectMatcherBuilder.java:27: 2 Unique Traces, 107 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ ObjectMatcherBuilder.java:64: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Parameter.java:89: 9 Unique Traces, 156 Redundant Traces, 3 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ ParameterSource.java:19: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ParameterSource.java:23: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ParameterSource.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ParameterSpace.java:42: 5 Unique Traces, 157 Redundant Traces, 2 Preserved, 34 Remained 
