Iterator_RemoveOnce @ TrieSet.java:369: 3 Unique Traces, 36 Redundant Traces, 3 Preserved, 36 Remained 
Iterator_RemoveOnce @ TrieSet.java:509: 30 Unique Traces, 252205 Redundant Traces, 9 Preserved, 12670 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:216: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:219: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:232: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:252: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:268: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:271: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:315: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:318: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:333: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TrieSetTest.java:336: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TriesTest.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ TriesTest.java:142: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ TrieMap.java:278: 173 Unique Traces, 3558795 Redundant Traces, 7 Preserved, 178047 Remained 
ListIterator_Set @ TrieMap.java:276: 173 Unique Traces, 3558795 Redundant Traces, 15 Preserved, 178109 Remained 
ListIterator_hasNextPrevious @ TrieMap.java:277: 173 Unique Traces, 3558795 Redundant Traces, 10 Preserved, 177738 Remained 
List_UnsafeListIterator @ TrieMap.java:276: 3968 Unique Traces, 3555000 Redundant Traces, 238 Preserved, 177721 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:63: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:64: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:68: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:70: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:71: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:84: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:85: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:89: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:90: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 13 Remained 
Map_CollectionViewAdd @ JaroWinklerSimilarityTest.java:92: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 4 Remained 
Map_CollectionViewAdd @ TrieMap.java:308: 3 Unique Traces, 6 Redundant Traces, 3 Preserved, 5 Remained 
Map_CollectionViewAdd @ TrieMap.java:312: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:63: 4 Unique Traces, 12 Redundant Traces, 3 Preserved, 5 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:64: 3 Unique Traces, 27 Redundant Traces, 3 Preserved, 12 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:68: 4 Unique Traces, 12 Redundant Traces, 3 Preserved, 5 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:70: 3 Unique Traces, 27 Redundant Traces, 3 Preserved, 12 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:84: 4 Unique Traces, 12 Redundant Traces, 3 Preserved, 5 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:85: 3 Unique Traces, 27 Redundant Traces, 3 Preserved, 12 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:89: 4 Unique Traces, 12 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ JaroWinklerSimilarityTest.java:90: 3 Unique Traces, 27 Redundant Traces, 2 Preserved, 6 Remained 
Map_UnsafeIterator @ TrieMap.java:308: 11 Unique Traces, 14 Redundant Traces, 11 Preserved, 14 Remained 
Map_UnsafeIterator @ TrieMap.java:312: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ TrieMapTest.java:367: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Reader_ManipulateAfterClose @ TrieSetTest.java:356: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ JaroWinklerSimilarityTest.java:71: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 22 Remained 
StringBuilder_ThreadSafe @ JaroWinklerSimilarityTest.java:92: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ TrieMap.java:202: 1 Unique Traces, 25471354 Redundant Traces, 1 Preserved, 9999 Remained 
StringBuilder_ThreadSafe @ TrieMap.java:231: 34 Unique Traces, 1057240 Redundant Traces, 2 Preserved, 53030 Remained 
StringBuilder_ThreadSafe @ TrieSet.java:405: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Throwable_InitCauseOnce @ Tries.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
