Appendable_ThreadSafe @ ControlFlowGraph.java:173: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:174: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:175: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 52 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:188: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 72 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:189: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:190: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:191: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 63 Remained 
Appendable_ThreadSafe @ ControlFlowGraph.java:202: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:35: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:72: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:74: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:82: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:89: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 59 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:90: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:91: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:100: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:108: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:114: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:124: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:134: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:137: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:146: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:147: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:148: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:152: 1 Unique Traces, 352 Redundant Traces, 1 Preserved, 49 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:153: 1 Unique Traces, 352 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:166: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:167: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:168: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:170: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 79 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:176: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:177: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:178: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 45 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:179: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 54 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:180: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:188: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:198: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:207: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:210: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:220: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 48 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:221: 1 Unique Traces, 468 Redundant Traces, 1 Preserved, 48 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:224: 1 Unique Traces, 352 Redundant Traces, 1 Preserved, 41 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:226: 1 Unique Traces, 352 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:227: 1 Unique Traces, 352 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:229: 1 Unique Traces, 115 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:244: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 36 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:245: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:246: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:248: 1 Unique Traces, 492 Redundant Traces, 1 Preserved, 50 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:254: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 48 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:255: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:256: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:257: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:258: 1 Unique Traces, 294 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ DataDependenceGraph.java:269: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Execution.java:45: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Execution.java:137: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Execution.java:168: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ Execution.java:189: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Execution.java:203: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ Execution.java:229: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
