Appendable_ThreadSafe @ Transition.java:255: 1 Unique Traces, 418031 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ Transition.java:262: 1 Unique Traces, 689 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ Transition.java:276: 1 Unique Traces, 54952 Redundant Traces, 1 Preserved, 2811 Remained 
Appendable_ThreadSafe @ Transition.java:283: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ Transition.java:289: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ Transition.java:299: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Transition.java:303: 1 Unique Traces, 92 Redundant Traces, 1 Preserved, 44 Remained 
Appendable_ThreadSafe @ Transition.java:309: 1 Unique Traces, 1082 Redundant Traces, 1 Preserved, 71 Remained 
Appendable_ThreadSafe @ Transition.java:324: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Transition.java:334: 1 Unique Traces, 1419 Redundant Traces, 1 Preserved, 118 Remained 
Appendable_ThreadSafe @ Transition.java:343: 1 Unique Traces, 141 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ Transition.java:350: 1 Unique Traces, 18459 Redundant Traces, 1 Preserved, 931 Remained 
Appendable_ThreadSafe @ Transition.java:356: 1 Unique Traces, 2303 Redundant Traces, 1 Preserved, 132 Remained 
Appendable_ThreadSafe @ Transition.java:368: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 59 Remained 
Appendable_ThreadSafe @ Transition.java:372: 1 Unique Traces, 10813 Redundant Traces, 1 Preserved, 632 Remained 
Appendable_ThreadSafe @ Transition.java:393: 1 Unique Traces, 50800 Redundant Traces, 1 Preserved, 2758 Remained 
Appendable_ThreadSafe @ Transition.java:429: 1 Unique Traces, 68412 Redundant Traces, 1 Preserved, 3405 Remained 
Appendable_ThreadSafe @ Transition.java:431: 1 Unique Traces, 1987370 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ TrieBasedSpellChecker.java:174: 1 Unique Traces, 562889 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ TrieBasedSpellChecker.java:176: 1 Unique Traces, 562889 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ TrieBasedSpellChecker.java:178: 1 Unique Traces, 562889 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ TrieBasedSpellChecker.java:183: 1 Unique Traces, 95892 Redundant Traces, 1 Preserved, 4843 Remained 
Appendable_ThreadSafe @ TrieBasedSpellChecker.java:188: 1 Unique Traces, 6436 Redundant Traces, 1 Preserved, 403 Remained 
Appendable_ThreadSafe @ TrieNode.java:43: 28 Unique Traces, 94237 Redundant Traces, 9 Preserved, 4682 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:390: 1 Unique Traces, 1808 Redundant Traces, 1 Preserved, 99 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:393: 1 Unique Traces, 2339 Redundant Traces, 1 Preserved, 151 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:396: 1 Unique Traces, 3491 Redundant Traces, 1 Preserved, 204 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:400: 1 Unique Traces, 54881 Redundant Traces, 1 Preserved, 2841 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:456: 1 Unique Traces, 1511 Redundant Traces, 1 Preserved, 94 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:468: 1 Unique Traces, 224 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:473: 1 Unique Traces, 62 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:476: 1 Unique Traces, 377 Redundant Traces, 1 Preserved, 60 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:479: 1 Unique Traces, 224 Redundant Traces, 1 Preserved, 64 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:482: 1 Unique Traces, 2465 Redundant Traces, 1 Preserved, 143 Remained 
Appendable_ThreadSafe @ TxtDictionary.java:501: 1 Unique Traces, 233 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ Word.java:174: 1 Unique Traces, 1417 Redundant Traces, 1 Preserved, 88 Remained 
Appendable_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 342449 Redundant Traces, 1 Preserved, 10000 Remained 
Collection_UnsafeIterator @ ContextBasedSpellChecker.java:82: 6 Unique Traces, 6 Redundant Traces, 5 Preserved, 6 Remained 
Collection_UnsafeIterator @ ContextBasedSpellChecker.java:87: 42 Unique Traces, 21 Redundant Traces, 42 Preserved, 21 Remained 
Collection_UnsafeIterator @ ContextBasedSpellChecker.java:93: 9 Unique Traces, 3 Redundant Traces, 9 Preserved, 3 Remained 
Collection_UnsafeIterator @ FiniteStateMachine.java:148: 141 Unique Traces, 66845 Redundant Traces, 141 Preserved, 66845 Remained 
Collection_UnsafeIterator @ FsmMorphologicalAnalyzer.java:616: 9 Unique Traces, 28268 Redundant Traces, 7 Preserved, 1489 Remained 
Collection_UnsafeIterator @ FsmMorphologicalAnalyzer.java:662: 20 Unique Traces, 464137 Redundant Traces, 2 Preserved, 23126 Remained 
Collection_UnsafeIterator @ FsmParse.java:662: 13 Unique Traces, 12478 Redundant Traces, 7 Preserved, 682 Remained 
Collection_UnsafeIterator @ FsmParseList.java:146: 8 Unique Traces, 1636 Redundant Traces, 2 Preserved, 83 Remained 
Collection_UnsafeIterator @ FsmParseList.java:174: 6 Unique Traces, 72 Redundant Traces, 4 Preserved, 38 Remained 
Collection_UnsafeIterator @ NGramNode.java:150: 371 Unique Traces, 254437 Redundant Traces, 371 Preserved, 254437 Remained 
Collection_UnsafeIterator @ NGramNode.java:187: 371 Unique Traces, 254437 Redundant Traces, 371 Preserved, 254437 Remained 
Collection_UnsafeIterator @ NGramNode.java:195: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ NGramSpellChecker.java:192: 22 Unique Traces, 57 Redundant Traces, 22 Preserved, 57 Remained 
Collection_UnsafeIterator @ SimpleSpellChecker.java:420: 3 Unique Traces, 12 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ SimpleSpellChecker.java:426: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ SimpleSpellChecker.java:477: 3 Unique Traces, 93 Redundant Traces, 2 Preserved, 18 Remained 
Collection_UnsafeIterator @ TrieBasedSpellChecker.java:73: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TrieNode.java:42: 29 Unique Traces, 95864 Redundant Traces, 15 Preserved, 4867 Remained 
Collection_UnsafeIterator @ XmlElement.java:64: 6 Unique Traces, 31683 Redundant Traces, 4 Preserved, 1647 Remained 
Collection_UnsynchronizedAddAll @ NGramSpellChecker.java:185: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsynchronizedAddAll @ NGramSpellChecker.java:186: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsynchronizedAddAll @ NGramSpellChecker.java:188: 1 Unique Traces, 78 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsynchronizedAddAll @ SimpleSpellChecker.java:183: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ Trie.java:44: 6 Unique Traces, 46377 Redundant Traces, 1 Preserved, 2423 Remained 
Collection_UnsynchronizedAddAll @ TrieBasedSpellChecker.java:117: 1 Unique Traces, 516281 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ ContextBasedSpellChecker.java:81: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ ContextBasedSpellChecker.java:105: 7 Unique Traces, 5 Redundant Traces, 7 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:52: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:173: 31 Unique Traces, 788 Redundant Traces, 7 Preserved, 60 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:195: 17 Unique Traces, 235 Redundant Traces, 10 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:382: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:419: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:427: 177 Unique Traces, 3387 Redundant Traces, 32 Preserved, 216 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:431: 7 Unique Traces, 15 Redundant Traces, 7 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:443: 22 Unique Traces, 1102 Redundant Traces, 7 Preserved, 82 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:483: 220 Unique Traces, 6005 Redundant Traces, 37 Preserved, 388 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:488: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:492: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:500: 15 Unique Traces, 621 Redundant Traces, 5 Preserved, 45 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:504: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:508: 5 Unique Traces, 19 Redundant Traces, 4 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:513: 58 Unique Traces, 426 Redundant Traces, 6 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:517: 3 Unique Traces, 9 Redundant Traces, 2 Preserved, 6 Remained 
