Collection_UnsafeIterator @ State.java:184: 7 Unique Traces, 3300021 Redundant Traces, 2 Preserved, 69998 Remained 
Collection_UnsynchronizedAddAll @ DictionaryTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ MapInterfaceTest.java:801: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CompactIntArrayTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CompactIntArrayTest.java:133: 3743 Unique Traces, 50736 Redundant Traces, 3743 Preserved, 50736 Remained 
Collections_SortBeforeBinarySearch @ DictionaryBuilder.java:263: 382 Unique Traces, 878 Redundant Traces, 85 Preserved, 143 Remained 
Collections_SortBeforeBinarySearch @ DictionaryTest.java:38: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ DictionaryTest.java:48: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ DictionaryTest.java:111: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ImmutableStringIntMap.java:101: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ImmutableStringIntMap.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ImmutableStringObjectMap.java:102: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ImmutableStringObjectMap.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevenshteinAutomaton.java:101: 449 Unique Traces, 551 Redundant Traces, 449 Preserved, 551 Remained 
Collections_SortBeforeBinarySearch @ LevenshteinAutomatonState.java:125: 1000 Unique Traces, 0 Redundant Traces, 1000 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1497: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1522: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1551: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1578: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1609: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1636: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ MapInterfaceTest.java:1661: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ PerfectHashDictionaryStateCard.java:236: 3 Unique Traces, 14 Redundant Traces, 3 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ PerfectHashDictionaryTest.java:40: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ PerfectHashDictionaryTest.java:50: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ PerfectHashDictionaryTest.java:60: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ PerfectHashDictionaryTransCard.java:234: 8 Unique Traces, 215 Redundant Traces, 6 Preserved, 51 Remained 
Iterator_HasNext @ CompactIntArrayTest.java:57: 1744 Unique Traces, 2256 Redundant Traces, 1744 Preserved, 2256 Remained 
Iterator_HasNext @ DictionaryBuilder.java:129: 151 Unique Traces, 1098 Redundant Traces, 19 Preserved, 138 Remained 
Iterator_HasNext @ DictionaryBuilder.java:184: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ DictionaryBuilder.java:193: 4 Unique Traces, 22 Redundant Traces, 4 Preserved, 22 Remained 
Iterator_HasNext @ DictionaryBuilder.java:241: 7 Unique Traces, 858355 Redundant Traces, 3 Preserved, 42744 Remained 
Iterator_HasNext @ DictionaryBuilder.java:272: 7 Unique Traces, 858381 Redundant Traces, 3 Preserved, 42709 Remained 
Iterator_HasNext @ DictionaryBuilder.java:310: 333 Unique Traces, 925 Redundant Traces, 59 Preserved, 154 Remained 
Iterator_HasNext @ DictionaryImpl.java:77: 3 Unique Traces, 179 Redundant Traces, 1 Preserved, 33 Remained 
Iterator_HasNext @ DictionaryImpl.java:142: 3 Unique Traces, 87 Redundant Traces, 2 Preserved, 36 Remained 
Iterator_HasNext @ DictionaryTest.java:77: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DictionaryTest.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DictionaryTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DictionaryTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntMap.java:72: 3 Unique Traces, 49 Redundant Traces, 3 Preserved, 36 Remained 
Iterator_HasNext @ ImmutableStringIntMap.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntMap.java:148: 6 Unique Traces, 1031 Redundant Traces, 6 Preserved, 136 Remained 
Iterator_HasNext @ ImmutableStringIntMap.java:153: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:78: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringIntTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringObjectMap.java:74: 3 Unique Traces, 48 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_HasNext @ ImmutableStringObjectMap.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringObjectMap.java:150: 8 Unique Traces, 1029 Redundant Traces, 8 Preserved, 1029 Remained 
Iterator_HasNext @ ImmutableStringObjectMap.java:155: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ImmutableStringObjectMapTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringObjectMapTest.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ImmutableStringStringMap.java:82: 3 Unique Traces, 48 Redundant Traces, 3 Preserved, 6 Remained 
Iterator_HasNext @ ImmutableStringStringMap.java:109: 8 Unique Traces, 1029 Redundant Traces, 4 Preserved, 46 Remained 
Iterator_HasNext @ ImmutableStringStringMap.java:115: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ LevenshteinAutomaton.java:109: 7 Unique Traces, 2277536 Redundant Traces, 5 Preserved, 69995 Remained 
Iterator_HasNext @ LevenshteinAutomaton.java:153: 3 Unique Traces, 297497 Redundant Traces, 1 Preserved, 14879 Remained 
Iterator_HasNext @ LevenshteinAutomatonState.java:136: 6 Unique Traces, 70589 Redundant Traces, 4 Preserved, 3568 Remained 
Iterator_HasNext @ LevenshteinAutomatonState.java:148: 6 Unique Traces, 65019 Redundant Traces, 4 Preserved, 3412 Remained 
Iterator_HasNext @ LevenshteinAutomatonState.java:153: 4 Unique Traces, 65021 Redundant Traces, 2 Preserved, 3287 Remained 
Iterator_HasNext @ LevenshteinAutomatonState.java:164: 5 Unique Traces, 65020 Redundant Traces, 3 Preserved, 3378 Remained 
Iterator_HasNext @ MapInterfaceTest.java:158: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 17 Remained 
Iterator_HasNext @ MapInterfaceTest.java:187: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 8 Remained 
Iterator_HasNext @ MapInterfaceTest.java:190: 2 Unique Traces, 130 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ MapInterfaceTest.java:204: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 24 Remained 
Iterator_HasNext @ MapInterfaceTest.java:205: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 14 Remained 
Iterator_HasNext @ MapInterfaceTest.java:212: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 9 Remained 
Iterator_HasNext @ MapInterfaceTest.java:218: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_HasNext @ MapInterfaceTest.java:254: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 20 Remained 
Iterator_HasNext @ MapInterfaceTest.java:308: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:330: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:361: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:488: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:514: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:560: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:647: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:713: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ MapInterfaceTest.java:936: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
