Iterator_RemoveOnce @ SwaptionDataLattice.java:348: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:445: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:311: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:313: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:394: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:395: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:445: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:226: 33 Unique Traces, 44 Redundant Traces, 32 Preserved, 44 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:236: 33 Unique Traces, 42 Redundant Traces, 33 Preserved, 42 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:453: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:490: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:445: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ AbstractSingleSwapRateProduct.java:128: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 40 Remained 
