Iterator_RemoveOnce @ DataTableInterpolated.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableInterpolated.java:43: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableLight.java:142: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableLight.java:201: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableLight.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableLight.java:206: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_RemoveOnce @ DataTableLinear.java:42: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableLinear.java:43: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ DataTableBasic.java:257: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 36 Remained 
StringBuilder_ThreadSafe @ DataTableBasic.java:260: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:119: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:202: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:205: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:273: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:279: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ DataTableLinear.java:205: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
