Collections_SortBeforeBinarySearch @ OffReader.java:258: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:264: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PcuCommonUtil.java:12: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PcuCommonUtil.java:20: 37 Unique Traces, 20 Redundant Traces, 18 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ PcuReflectUtil.java:29: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ PlyData.java:41: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ PlyData.java:106: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyData.java:162: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ PlyReader.java:73: 3 Unique Traces, 12 Redundant Traces, 3 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ PlyReader.java:84: 10 Unique Traces, 5 Redundant Traces, 10 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ PlyReader.java:279: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PlyReader.java:282: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ PlyReader.java:309: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ PlyReader.java:311: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ PlyWriter.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriter.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriter.java:469: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PlyWriter.java:486: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PlyWriter.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PlyWriter.java:530: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ PlyWriterTest.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriterTest.java:69: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriterTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriterTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriterTest.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PlyWriterTest.java:212: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ShortestPath.java:46: 1 Unique Traces, 9542 Redundant Traces, 1 Preserved, 498 Remained 
Collections_SortBeforeBinarySearch @ ShortestPath.java:48: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ShortestPathTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ShortestPathTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLOProjectorTest.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLOProjectorTest.java:49: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:89: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:90: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:119: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:120: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:176: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WeightedLocallyOptimalProjector.java:232: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BoundingBox.java:64: 35 Unique Traces, 22 Redundant Traces, 35 Preserved, 22 Remained 
Iterator_HasNext @ CardinalInterpolator.java:70: 2 Unique Traces, 32 Redundant Traces, 2 Preserved, 29 Remained 
Iterator_HasNext @ CardinalInterpolator.java:82: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 2 Remained 
Iterator_HasNext @ CardinalInterpolator.java:89: 3 Unique Traces, 19 Redundant Traces, 3 Preserved, 8 Remained 
Iterator_HasNext @ CardinalInterpolator.java:118: 4 Unique Traces, 5 Redundant Traces, 4 Preserved, 5 Remained 
Iterator_HasNext @ CardinalInterpolator.java:123: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ CardinalInterpolator.java:126: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ CardinalInterpolator.java:138: 3 Unique Traces, 22 Redundant Traces, 3 Preserved, 17 Remained 
Iterator_HasNext @ CardinalInterpolator.java:144: 3 Unique Traces, 22 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ CardinalInterpolator.java:165: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ CardinalInterpolatorTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataUtil.java:45: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ DataUtil.java:46: 9 Unique Traces, 14 Redundant Traces, 7 Preserved, 4 Remained 
Iterator_HasNext @ DirectedGraph.java:64: 4 Unique Traces, 5 Redundant Traces, 4 Preserved, 5 Remained 
Iterator_HasNext @ EntityGraph.java:76: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ Graphs.java:30: 36 Unique Traces, 11 Redundant Traces, 36 Preserved, 11 Remained 
Iterator_HasNext @ Graphs.java:41: 57 Unique Traces, 11287 Redundant Traces, 6 Preserved, 623 Remained 
Iterator_HasNext @ Graphs.java:66: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Iterator_HasNext @ Graphs.java:74: 4 Unique Traces, 15 Redundant Traces, 4 Preserved, 9 Remained 
Iterator_HasNext @ Graphs.java:85: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ Graphs.java:88: 2 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ Graphs.java:93: 7 Unique Traces, 298 Redundant Traces, 3 Preserved, 19 Remained 
