Collection_UnsafeIterator @ Corpus.java:154: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ CounterHashMap.java:82: 4 Unique Traces, 601 Redundant Traces, 3 Preserved, 57 Remained 
Collection_UnsafeIterator @ FiniteStateMachine.java:148: 141 Unique Traces, 559519 Redundant Traces, 141 Preserved, 559519 Remained 
Collection_UnsafeIterator @ FsmMorphologicalAnalyzer.java:616: 10 Unique Traces, 6744 Redundant Traces, 5 Preserved, 352 Remained 
Collection_UnsafeIterator @ FsmMorphologicalAnalyzer.java:662: 20 Unique Traces, 199980 Redundant Traces, 5 Preserved, 10047 Remained 
Collection_UnsafeIterator @ FsmParse.java:662: 15 Unique Traces, 106193 Redundant Traces, 5 Preserved, 5308 Remained 
Collection_UnsafeIterator @ FsmParseList.java:146: 25 Unique Traces, 8094 Redundant Traces, 6 Preserved, 416 Remained 
Collection_UnsafeIterator @ FsmParseList.java:174: 24 Unique Traces, 119 Redundant Traces, 6 Preserved, 12 Remained 
Collection_UnsafeIterator @ InflectionalGroup.java:177: 7 Unique Traces, 260 Redundant Traces, 2 Preserved, 16 Remained 
Collection_UnsafeIterator @ InflectionalGroup.java:193: 8 Unique Traces, 4480 Redundant Traces, 5 Preserved, 228 Remained 
Collection_UnsafeIterator @ MorphologicalParse.java:456: 4 Unique Traces, 231 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ MorphologicalParse.java:481: 6 Unique Traces, 4176 Redundant Traces, 3 Preserved, 221 Remained 
Collection_UnsafeIterator @ NGramNode.java:150: 213 Unique Traces, 26167 Redundant Traces, 213 Preserved, 26167 Remained 
Collection_UnsafeIterator @ NGramNode.java:187: 213 Unique Traces, 26167 Redundant Traces, 212 Preserved, 26167 Remained 
Collection_UnsafeIterator @ NGramNode.java:195: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ XmlElement.java:64: 6 Unique Traces, 678 Redundant Traces, 4 Preserved, 38 Remained 
