Collections_SortBeforeBinarySearch @ HtmlNames.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IOUtils.java:504: 59 Unique Traces, 621 Redundant Traces, 6 Preserved, 48 Remained 
Collections_SortBeforeBinarySearch @ MarkupEventProcessorHandler.java:1138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MarkupSelectorItems.java:469: 4 Unique Traces, 784 Redundant Traces, 1 Preserved, 40 Remained 
Collections_SortBeforeBinarySearch @ StringUtils.java:3119: 3 Unique Traces, 65 Redundant Traces, 2 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ StringUtils.java:3151: 1 Unique Traces, 285 Redundant Traces, 1 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ TraceBuilderMarkupHandler.java:91: 130 Unique Traces, 9650096 Redundant Traces, 8 Preserved, 482664 Remained 
Collections_SortBeforeBinarySearch @ XmlBlockSelectorMarkupHandlerTest.java:74: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ XmlBlockSelectorMarkupHandlerTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ XmlBlockSelectorMarkupHandlerTest.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DOMWriter.java:158: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
Iterator_HasNext @ DOMWriter.java:191: 3 Unique Traces, 18 Redundant Traces, 3 Preserved, 17 Remained 
Iterator_HasNext @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlBlockSelectorMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlElements.java:222: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlElementsTest.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlNames.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MarkupEventProcessorHandler.java:1140: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MarkupEventProcessorHandler.java:1146: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MarkupParserTest.java:1986: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 123574 Remained 
