Iterator_HasNext @ NGramNode.java:187: 371 Unique Traces, 95182 Redundant Traces, 371 Preserved, 95182 Remained 
Iterator_HasNext @ NGramNode.java:195: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ XmlElement.java:64: 6 Unique Traces, 10557 Redundant Traces, 5 Preserved, 580 Remained 
Iterator_RemoveOnce @ FiniteStateMachine.java:148: 141 Unique Traces, 2016 Redundant Traces, 141 Preserved, 2016 Remained 
Iterator_RemoveOnce @ FsmMorphologicalAnalyzer.java:616: 8 Unique Traces, 137 Redundant Traces, 4 Preserved, 14 Remained 
Iterator_RemoveOnce @ FsmMorphologicalAnalyzer.java:662: 18 Unique Traces, 2436 Redundant Traces, 9 Preserved, 160 Remained 
Iterator_RemoveOnce @ FsmParse.java:662: 8 Unique Traces, 193 Redundant Traces, 4 Preserved, 27 Remained 
Iterator_RemoveOnce @ FsmParseList.java:140: 4 Unique Traces, 16 Redundant Traces, 4 Preserved, 16 Remained 
Iterator_RemoveOnce @ FsmParseList.java:168: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ NGramDeasciifier.java:106: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 14 Remained 
Iterator_RemoveOnce @ NGramNode.java:150: 371 Unique Traces, 95182 Redundant Traces, 371 Preserved, 95182 Remained 
Iterator_RemoveOnce @ NGramNode.java:187: 371 Unique Traces, 95182 Redundant Traces, 371 Preserved, 95182 Remained 
Iterator_RemoveOnce @ NGramNode.java:195: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ XmlElement.java:64: 4 Unique Traces, 10559 Redundant Traces, 4 Preserved, 538 Remained 
Map_CollectionViewAdd @ NGramNode.java:150: 2 Unique Traces, 63700 Redundant Traces, 1 Preserved, 3200 Remained 
Map_CollectionViewAdd @ NGramNode.java:195: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Map_UnsafeIterator @ NGramNode.java:150: 1145 Unique Traces, 158110 Redundant Traces, 1145 Preserved, 158110 Remained 
Map_UnsafeIterator @ NGramNode.java:187: 1125 Unique Traces, 94428 Redundant Traces, 1125 Preserved, 94428 Remained 
Map_UnsafeIterator @ NGramNode.java:195: 5 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Reader_ManipulateAfterClose @ NGram.java:87: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ FsmMorphologicalAnalyzer.java:475: 1 Unique Traces, 137 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:540: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:543: 1 Unique Traces, 80 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:579: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:582: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:635: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:665: 1 Unique Traces, 574 Redundant Traces, 1 Preserved, 47 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:667: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:682: 1 Unique Traces, 145 Redundant Traces, 1 Preserved, 53 Remained 
StringBuilder_ThreadSafe @ FsmParse.java:685: 1 Unique Traces, 181 Redundant Traces, 1 Preserved, 42 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:35: 1 Unique Traces, 1354 Redundant Traces, 1 Preserved, 132 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:62: 1 Unique Traces, 277 Redundant Traces, 1 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:65: 1 Unique Traces, 1246 Redundant Traces, 1 Preserved, 76 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:87: 1 Unique Traces, 86 Redundant Traces, 1 Preserved, 22 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:99: 1 Unique Traces, 4795 Redundant Traces, 1 Preserved, 238 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:108: 1 Unique Traces, 900 Redundant Traces, 1 Preserved, 52 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:165: 1 Unique Traces, 284 Redundant Traces, 1 Preserved, 34 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:168: 1 Unique Traces, 896 Redundant Traces, 1 Preserved, 80 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:171: 1 Unique Traces, 455 Redundant Traces, 1 Preserved, 100 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:174: 1 Unique Traces, 5326 Redundant Traces, 1 Preserved, 282 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:190: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:208: 1 Unique Traces, 118 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ MorphotacticEngine.java:210: 1 Unique Traces, 216 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ Sentence.java:228: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ Transition.java:117: 1 Unique Traces, 9903 Redundant Traces, 1 Preserved, 537 Remained 
StringBuilder_ThreadSafe @ Transition.java:256: 1 Unique Traces, 3625 Redundant Traces, 1 Preserved, 216 Remained 
StringBuilder_ThreadSafe @ Transition.java:263: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ Transition.java:277: 1 Unique Traces, 90 Redundant Traces, 1 Preserved, 49 Remained 
StringBuilder_ThreadSafe @ Transition.java:290: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ Transition.java:304: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ Transition.java:310: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 72 Remained 
StringBuilder_ThreadSafe @ Transition.java:335: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ Transition.java:351: 1 Unique Traces, 90 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ Transition.java:357: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ Transition.java:373: 1 Unique Traces, 285 Redundant Traces, 1 Preserved, 24 Remained 
StringBuilder_ThreadSafe @ Transition.java:394: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 18 Remained 
StringBuilder_ThreadSafe @ Transition.java:430: 1 Unique Traces, 801 Redundant Traces, 1 Preserved, 37 Remained 
StringBuilder_ThreadSafe @ Transition.java:432: 1 Unique Traces, 16227 Redundant Traces, 1 Preserved, 799 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:367: 1 Unique Traces, 602 Redundant Traces, 1 Preserved, 45 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:370: 1 Unique Traces, 779 Redundant Traces, 1 Preserved, 55 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:373: 1 Unique Traces, 1163 Redundant Traces, 1 Preserved, 61 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:377: 1 Unique Traces, 18293 Redundant Traces, 1 Preserved, 917 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:433: 1 Unique Traces, 503 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:445: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:450: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:453: 1 Unique Traces, 125 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:456: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:459: 1 Unique Traces, 821 Redundant Traces, 1 Preserved, 46 Remained 
StringBuilder_ThreadSafe @ TxtDictionary.java:478: 1 Unique Traces, 77 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 114149 Redundant Traces, 1 Preserved, 5658 Remained 
Throwable_InitCauseOnce @ NGramNode.java:317: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
