Collections_SortBeforeBinarySearch @ PlanarGraph.java:121: 5 Unique Traces, 3 Redundant Traces, 5 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ PolygonBuilder.java:94: 3 Unique Traces, 19 Redundant Traces, 2 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ PolygonBuilder.java:122: 3 Unique Traces, 19 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ PolygonBuilder.java:185: 2 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ PolygonBuilder.java:188: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ PolygonBuilder.java:275: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ PolygonTopologyAnalyzer.java:343: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ PolygonTopologyAnalyzer.java:356: 8 Unique Traces, 5 Redundant Traces, 8 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ PolygonTopologyAnalyzer.java:376: 5 Unique Traces, 2 Redundant Traces, 5 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ STRtree.java:128: 1 Unique Traces, 54 Redundant Traces, 1 Preserved, 50 Remained 
Collections_SortBeforeBinarySearch @ STRtree.java:138: 7 Unique Traces, 48 Redundant Traces, 5 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ STRtree.java:160: 30 Unique Traces, 81 Redundant Traces, 15 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ SegmentNodeList.java:185: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SimpleMCSweepLineIntersector.java:88: 6 Unique Traces, 3 Redundant Traces, 6 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SortedPackedIntervalRTree.java:66: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SortedPackedIntervalRTree.java:116: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SubgraphDepthLocater.java:148: 6 Unique Traces, 8 Redundant Traces, 6 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:92: 5 Unique Traces, 53 Redundant Traces, 3 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:1625: 15 Unique Traces, 1014723 Redundant Traces, 4 Preserved, 50524 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:1658: 243 Unique Traces, 1014613 Redundant Traces, 243 Preserved, 1014613 Remained 
Collections_SortBeforeBinarySearch @ VectorTile.java:2865: 34 Unique Traces, 10128 Redundant Traces, 34 Preserved, 10128 Remained 
