Collection_UnsafeIterator @ MethodAttributeAppender.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:202: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:205: 3 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:211: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:217: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:470: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:483: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:132: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:173: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:319: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:407: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodConstant.java:140: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodDelegation.java:949: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:536: 3 Unique Traces, 8 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:982: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:1092: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodDescription.java:524: 3 Unique Traces, 24 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodDescription.java:538: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ MethodDescription.java:549: 3 Unique Traces, 18 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ MethodDescription.java:1987: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodGraph.java:641: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:714: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1019: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1189: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1212: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1251: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodList.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:458: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:479: 2 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:483: 4 Unique Traces, 11 Redundant Traces, 3 Preserved, 8 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:505: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:508: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:738: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodVariableAccess.java:233: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ModifierContributor.java:202: 4 Unique Traces, 35 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:353: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:381: 4 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:387: 6 Unique Traces, 8 Redundant Traces, 6 Preserved, 8 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:395: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ NonLeafHelper.java:63: 8 Unique Traces, 88241 Redundant Traces, 7 Preserved, 4478 Remained 
Collection_UnsafeIterator @ ParameterList.java:82: 2 Unique Traces, 18 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ ParameterList.java:95: 3 Unique Traces, 5 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ ParameterList.java:106: 4 Unique Traces, 348 Redundant Traces, 4 Preserved, 57 Remained 
Collection_UnsafeIterator @ ParameterList.java:536: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ RTree.java:482: 5 Unique Traces, 10020 Redundant Traces, 2 Preserved, 526 Remained 
Collection_UnsafeIterator @ RTree.java:500: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:515: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:939: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ RecordComponentRegistry.java:130: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collection_UnsafeIterator @ RxJavaPlugins.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SplitterQuadratic.java:77: 182 Unique Traces, 342277 Redundant Traces, 14 Preserved, 17112 Remained 
Collection_UnsafeIterator @ SplitterRStar.java:84: 2 Unique Traces, 53898 Redundant Traces, 1 Preserved, 2690 Remained 
Collection_UnsafeIterator @ StackManipulation.java:216: 7 Unique Traces, 123 Redundant Traces, 6 Preserved, 72 Remained 
Collection_UnsafeIterator @ StackManipulation.java:229: 4 Unique Traces, 120 Redundant Traces, 2 Preserved, 36 Remained 
Collection_UnsafeIterator @ StackManipulation.java:242: 10 Unique Traces, 66 Redundant Traces, 10 Preserved, 66 Remained 
Collection_UnsafeIterator @ StreamImpl.java:20: 1 Unique Traces, 76753 Redundant Traces, 1 Preserved, 3873 Remained 
Collection_UnsafeIterator @ SubclassDynamicTypeBuilder.java:242: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ SubscriptionList.java:134: 1 Unique Traces, 105 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:140: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 12 Remained 
